"age_group","place_overall","place_gender","place_division","name","team","bib_number","half_time","finish_net","finish_gun","gender","half_time_sec","finish_net_sec","finish_gun_sec","finish_net_minutes"
"18-39",1,1,1,"Chebet, Evans","Team–","1","1H 2M 20S","2H 5M 54S","2H 5M 54S","M",3740,7554,7554,125.9
"18-39",2,2,2,"Geay, Gabriel","Team–","3","1H 2M 20S","2H 6M 4S","2H 6M 4S","M",3740,7564,7564,126.066666666667
"18-39",3,3,3,"Kipruto, Benson","Team–","5","1H 2M 19S","2H 6M 6S","2H 6M 6S","M",3739,7566,7566,126.1
"18-39",4,4,4,"Korir, Albert","Team–","19","1H 2M 20S","2H 8M 1S","2H 8M 1S","M",3740,7681,7681,128.016666666667
"18-39",5,5,5,"Talbi, Zouhair","Team–","31","1H 2M 20S","2H 8M 35S","2H 8M 35S","M",3740,7715,7715,128.583333333333
"18-39",6,6,6,"Kipchoge, Eliud","Team–","2","1H 2M 19S","2H 9M 23S","2H 9M 23S","M",3739,7763,7763,129.383333333333
"18-39",7,7,7,"Fauble, Scott","Team–","22","1H 3M 59S","2H 9M 44S","2H 9M 44S","M",3839,7784,7784,129.733333333333
"18-39",8,8,8,"Chahdi, Hassan","Team–","21","1H 3M 59S","2H 9M 46S","2H 9M 46S","M",3839,7786,7786,129.766666666667
"18-39",9,9,9,"Korir, John","Team–","8","1H 2M 19S","2H 10M 4S","2H 10M 4S","M",3739,7804,7804,130.066666666667
"18-39",10,10,10,"Mcdonald, Matthew","TeamBoston Athletic Association","24","1H 3M 59S","2H 10M 17S","2H 10M 17S","M",3839,7817,7817,130.283333333333
"18-39",11,11,11,"Mantz, Conner","Team–","20","1H 2M 20S","2H 10M 25S","2H 10M 25S","M",3740,7825,7825,130.416666666667
"18-39",12,12,12,"Albertson, Cj","Team–","27","1H 2M 20S","2H 10M 33S","2H 10M 33S","M",3740,7833,7833,130.55
"18-39",13,13,13,"Montanez, Nico","Team–","25","1H 3M 59S","2H 10M 52S","2H 10M 52S","M",3839,7852,7852,130.866666666667
"18-39",14,14,14,"Kitata, Shura","Team–","7","1H 4M 36S","2H 11M 26S","2H 11M 26S","M",3876,7886,7886,131.433333333333
"18-39",15,15,15,"Belay, Andualem","Team–","11","1H 2M 20S","2H 11M 50S","2H 11M 50S","M",3740,7910,7910,131.833333333333
"18-39",16,16,16,"Pfeiffer, Hendrik","Team–","26","1H 4M 0S","2H 12M 22S","2H 12M 22S","M",3840,7942,7942,132.366666666667
"18-39",17,17,17,"Flavin, Jp","TeamHansons-Brooks Distance Project","48","1H 5M 40S","2H 13M 27S","2H 13M 27S","M",3940,8007,8007,133.45
"18-39",18,18,18,"Wiley, Turner","Team–","45","1H 5M 33S","2H 13M 57S","2H 13M 57S","M",3933,8037,8037,133.95
"18-39",19,19,19,"Mpofu, Isaac","Team–","18","1H 3M 59S","2H 14M 8S","2H 14M 8S","M",3839,8048,8048,134.133333333333
"18-39",20,20,20,"Hall, Chad","Team–","46","1H 3M 59S","2H 14M 13S","2H 14M 13S","M",3839,8053,8053,134.216666666667
"18-39",21,21,21,"Mickow, Colin","Team–","43","1H 3M 59S","2H 14M 27S","2H 14M 27S","M",3839,8067,8067,134.45
"18-39",22,22,22,"Korir, Mark","Team–","12","1H 2M 20S","2H 14M 37S","2H 14M 37S","M",3740,8077,8077,134.616666666667
"18-39",23,23,23,"True, Ben","Team–","29","1H 5M 33S","2H 16M 6S","2H 16M 6S","M",3933,8166,8166,136.1
"18-39",24,24,24,"Weaver, Connor","Team–","51","1H 6M 6S","2H 16M 25S","2H 16M 25S","M",3966,8185,8185,136.416666666667
"18-39",25,25,25,"Hampton, Jonas","TeamBoston Athletic Association","28","1H 5M 33S","2H 17M 5S","2H 17M 5S","M",3933,8225,8225,137.083333333333
"18-39",26,26,26,"Butler, Ian","Team–","23","1H 6M 10S","2H 17M 55S","2H 17M 55S","M",3970,8275,8275,137.916666666667
"18-39",27,27,27,"Mulder, Edward","Team–","54","1H 8M 15S","2H 18M 4S","2H 18M 4S","M",4095,8284,8284,138.066666666667
"18-39",28,28,28,"Whelan, Joseph","Team–","50","1H 7M 39S","2H 18M 23S","2H 18M 23S","M",4059,8303,8303,138.383333333333
"18-39",29,29,29,"Ornelas, Zachary","Team–","52","1H 8M 35S","2H 20M 8S","2H 20M 8S","M",4115,8408,8408,140.133333333333
"18-39",30,30,30,"Chelanga, Sam","Team–","49","1H 5M 34S","2H 20M 20S","2H 20M 20S","M",3934,8420,8420,140.333333333333
"18-39",31,31,31,"Messmer, Mark","Team–","62","1H 8M 36S","2H 20M 30S","2H 20M 30S","M",4116,8430,8430,140.5
"18-39",32,32,32,"Mccann, Andrew","Team–","56","1H 9M 1S","2H 21M 6S","2H 21M 6S","M",4141,8466,8466,141.1
"18-39",33,33,33,"Beyer, Chad","Team–","268","1H 8M 45S","2H 21M 25S","2H 21M 28S","M",4125,8485,8488,141.416666666667
"18-39",34,34,34,"Lerdall, Thomas","Team–","251","1H 9M 39S","2H 21M 28S","2H 21M 28S","M",4179,8488,8488,141.466666666667
"18-39",35,35,35,"Ashe, Eric","TeamTracksmith Boston Hares","66","1H 8M 36S","2H 21M 36S","2H 21M 36S","M",4116,8496,8496,141.6
"18-39",37,36,36,"Schaumberg, Matthew","Team–","305","1H 8M 48S","2H 21M 40S","2H 21M 40S","M",4128,8500,8500,141.666666666667
"18-39",38,37,37,"Gruen, Aaron","Team–","512","1H 10M 6S","2H 21M 43S","2H 21M 43S","M",4206,8503,8503,141.716666666667
"18-39",39,38,38,"Mott, Jonathan","Team–","57","1H 10M 3S","2H 21M 47S","2H 21M 47S","M",4203,8507,8507,141.783333333333
"18-39",43,39,39,"Holtkamp, Zachary","Team–","235","1H 10M 32S","2H 22M 8S","2H 22M 11S","M",4232,8528,8531,142.133333333333
"18-39",45,40,40,"Neff, Calum","TeamWinner's Circle Running Club","230","1H 10M 8S","2H 22M 11S","2H 22M 11S","M",4208,8531,8531,142.183333333333
"18-39",46,41,41,"Tomsich, Anthony","Team–","228","1H 10M 4S","2H 22M 11S","2H 22M 13S","M",4204,8531,8533,142.183333333333
"18-39",47,42,42,"Harvey, Brian","TeamBoston Athletic Association","59","1H 9M 0S","2H 22M 40S","2H 22M 40S","M",4140,8560,8560,142.666666666667
"18-39",48,43,43,"Bleistein, Clemens","Team–","227","1H 10M 3S","2H 22M 42S","2H 22M 46S","M",4203,8562,8566,142.7
"18-39",49,44,44,"Trujillo, Esteban","Team–","241","1H 10M 32S","2H 22M 50S","2H 22M 53S","M",4232,8570,8573,142.833333333333
"18-39",50,45,45,"Frans, Melikhaya","Team–","40","1H 3M 59S","2H 22M 55S","2H 22M 55S","M",3839,8575,8575,142.916666666667
"18-39",52,47,46,"Mastandrea, Jack","TeamHansons-Brooks Distance Project","58","1H 6M 37S","2H 23M 12S","2H 23M 12S","M",3997,8592,8592,143.2
"18-39",53,48,47,"Fazioli, Samuel","TeamTracksmith Boston Hares","231","1H 10M 33S","2H 23M 12S","2H 23M 14S","M",4233,8592,8594,143.2
"18-39",54,49,48,"Bocksnick, Jackson","Team–","444","1H 10M 30S","2H 23M 16S","2H 23M 21S","M",4230,8596,8601,143.266666666667
"18-39",55,50,49,"Gelston, Andrew","Team–","257","1H 10M 33S","2H 23M 22S","2H 23M 25S","M",4233,8602,8605,143.366666666667
"18-39",57,51,50,"Gutierrez, Cristobal","Team–","245","1H 11M 36S","2H 23M 27S","2H 23M 28S","M",4296,8607,8608,143.45
"18-39",58,52,51,"Lenehan, Matt","Team–","55","1H 8M 24S","2H 23M 32S","2H 23M 32S","M",4104,8612,8612,143.533333333333
"18-39",61,55,52,"Hamilton, Tyler","Team–","270","1H 11M 18S","2H 24M 5S","2H 24M 6S","M",4278,8645,8646,144.083333333333
"18-39",62,56,53,"Duggan, Michael","Team–","363","1H 11M 18S","2H 24M 11S","2H 24M 23S","M",4278,8651,8663,144.183333333333
"18-39",64,57,54,"Cordell, Adam","Team–","267","1H 10M 27S","2H 24M 14S","2H 24M 22S","M",4227,8654,8662,144.233333333333
"18-39",65,58,55,"Hackett, Everett","Team–","253","1H 11M 28S","2H 24M 20S","2H 24M 29S","M",4288,8660,8669,144.333333333333
"18-39",71,59,56,"Felton, Ben","Team–","308","1H 11M 7S","2H 24M 46S","2H 24M 47S","M",4267,8686,8687,144.766666666667
"18-39",73,60,57,"Harris, Phillip","Team–","588","1H 12M 40S","2H 24M 50S","2H 24M 56S","M",4360,8690,8696,144.833333333333
"18-39",77,61,58,"Rager, Jack","Team–","485","1H 10M 25S","2H 25M 11S","2H 25M 20S","M",4225,8711,8720,145.183333333333
"18-39",78,62,59,"Haiss, Max","Team–","323","1H 11M 44S","2H 25M 12S","2H 25M 19S","M",4304,8712,8719,145.2
"18-39",79,63,60,"Haffner, Brett","Team–","311","1H 11M 57S","2H 25M 32S","2H 25M 39S","M",4317,8732,8739,145.533333333333
"18-39",80,64,61,"Kimpel, Andrew","Team–","347","1H 12M 31S","2H 25M 40S","2H 25M 49S","M",4351,8740,8749,145.666666666667
"18-39",81,65,62,"Ricci, Simon","TeamWest Valley Track Club","391","1H 13M 29S","2H 25M 47S","2H 25M 48S","M",4409,8747,8748,145.783333333333
"18-39",83,66,63,"Castronuovo, Vinny","Team–","296","1H 11M 16S","2H 25M 56S","2H 26M 0S","M",4276,8756,8760,145.933333333333
"18-39",84,67,64,"Purcell, Timothy","Team–","989","1H 12M 14S","2H 26M 1S","2H 26M 6S","M",4334,8761,8766,146.016666666667
"18-39",85,68,65,"Hernandez, Dylan","TeamPacers//Georgetown Running Club-New Balance","299","1H 12M 17S","2H 26M 2S","2H 26M 3S","M",4337,8762,8763,146.033333333333
