"Item_Number","Set_Name","Theme","Pieces","Year","Pages","Minifigures","Packaging","Unique_Pieces","Size","amazon_price","age"
10859,"My First Ladybird","Duplo",6,2018,9,NA,"Box",5,"Large",16,1
10860,"My First Race Car","Duplo",6,2018,9,NA,"Box",6,"Large",9.45,1
10862,"My First Celebration","Duplo",41,2018,9,NA,"Box",18,"Large",39.89,1
10864,"Large Playground Brick Box","Duplo",71,2018,32,2,"Plastic box",49,"Large",56.69,2
10867,"Farmers' Market","Duplo",26,2018,9,3,"Box",18,"Large",36.99,2
10870,"Farm Animals","Duplo",16,2018,8,NA,"Box",13,"Large",9.99,2
10872,"Train Bridge and Tracks","Duplo",26,2018,16,1,"Box",10,"Large",21.99,2
10875,"Cargo Train","Duplo",105,2018,64,3,"Box",68,"Large",128.95,2
10876,"Spider-Man & Hulk Adventures","Duplo",38,2018,20,3,"Box",29,"Large",74.5,2
10878,"Rapunzel's Tower","Duplo",37,2018,24,1,"Box",26,"Large",98.99,2
10882,"Train Tracks","Duplo",23,2018,16,NA,"Box",9,"Large",17.99,2
10885,"My First Fun Puzzle","Duplo",15,2019,9,NA,NA,15,"Large",19.55,1
10886,"My First Car Creations","Duplo",34,2019,10,NA,NA,31,"Large",16,1
10901,"Fire Truck","Duplo",21,2019,10,2,"Box",16,"Large",17.99,2
10904,"Baby Animals","Duplo",9,2019,8,NA,"Box",9,"Large",21.11,2
10906,"Tropical Island","Duplo",73,2019,40,3,"Box",44,"Large",59.99,2
10908,"Plane","Duplo",12,2019,10,1,"Box",11,"Large",23.27,2
10910,"Submarine Adventure","Duplo",24,2019,8,2,"Box",22,"Large",17.99,2
10915,"Alphabet Truck","Duplo",36,2020,1,2,"Box",35,"Large",21.99,1
10918,"Tow Truck","Duplo",7,2020,3,NA,"Box with backing card",7,"Large",6.29,1
10921,"Super Heroes Lab","Duplo",30,2020,16,3,"Box",23,"Large",26.99,2
10926,"Bedroom","Duplo",16,2020,2,2,"Box",16,"Large",14.99,2
10927,"Pizza Stand","Duplo",18,2020,12,1,"Box",15,"Large",8.99,2
10928,"Bakery","Duplo",46,2020,20,2,"Box",33,"Large",29.99,2
10929,"Modular Playhouse","Duplo",129,2020,84,3,"Box",56,"Large",59.99,2
41330,"Stephanie's Soccer Practice","Friends",119,2018,48,1,"Box",78,"Small",40.4,6
41333,"Olivia's Mission Vehicle","Friends",223,2018,84,1,"Box",106,"Small",45.95,6
41335,"Mia's Tree House","Friends",351,2018,120,2,"Box",151,"Small",53.88,6
41340,"Friendship House","Friends",722,2018,164,3,"Box",309,"Small",184.99,6
41353,"Friends Advent Calendar","Friends",500,2018,4,NA,"Box",202,"Small",34,6
41356,"Stephanie's Heart Box","Friends",85,2019,32,1,NA,36,"Small",14.99,6
41358,"Mia's Heart Box","Friends",83,2019,32,1,NA,38,"Small",18.64,6
41363,"Mia's Forest Adventures ","Friends",134,2019,44,1,NA,77,"Small",18.95,6
41367,"Stephanie's Obstacle Course","Friends",337,2019,100,2,NA,168,"Small",35.99,6
